QueryNumber;DocNumber;DocVotes
00001;139;1
00001;151;1
00001;166;1
00001;311;1
00001;370;1
00001;392;1
00001;439;1
00001;440;1
00001;441;1
00001;454;1
00001;461;1
00001;502;1
00001;503;1
00001;505;1
00001;520;1
00001;522;1
00001;526;1
00001;527;1
00001;533;1
00001;593;1
00001;619;1
00001;737;1
00001;742;1
00001;789;1
00001;827;1
00001;835;1
00001;861;1
00001;875;1
00001;891;1
00001;921;1
00001;922;1
00001;1175;1
00001;1185;1
00001;1222;1
00002;169;1
00002;434;1
00002;454;1
00002;498;1
00002;499;1
00002;592;1
00002;875;1
00003;23;1
00003;40;1
00003;139;1
00003;190;1
00003;221;1
00003;246;1
00003;309;1
00003;311;1
00003;325;1
00003;345;1
00003;347;1
00003;356;1
00003;370;1
00003;374;1
00003;375;1
00003;439;1
00003;440;1
00003;454;1
00003;515;1
00003;520;1
00003;524;1
00003;526;1
00003;527;1
00003;533;1
00003;535;1
00003;560;1
00003;561;1
00003;571;1
00003;584;1
00003;604;1
00003;623;1
00003;633;1
00003;733;1
00003;742;1
00003;854;1
00003;856;1
00003;950;1
00003;967;1
00003;1144;1
00003;1161;1
00003;1172;1
00003;1175;1
00003;1196;1
00004;503;1
00004;538;1
00004;539;1
00004;540;1
00004;553;1
00004;604;1
00004;669;1
00004;711;1
00004;876;1
00005;23;1
00005;47;1
00005;50;1
00005;60;1
00005;114;1
00005;132;1
00005;135;1
00005;139;1
00005;151;1
00005;169;1
00005;189;1
00005;190;1
00005;197;1
00005;200;1
00005;226;1
00005;256;1
00005;265;1
00005;297;1
00005;298;1
00005;299;1
00005;311;1
00005;312;1
00005;325;1
00005;333;1
00005;343;1
00005;347;1
00005;349;1
00005;369;1
00005;370;1
00005;371;1
00005;374;1
00005;386;1
00005;392;1
00005;410;1
00005;420;1
00005;427;1
00005;428;1
00005;430;1
00005;434;1
00005;437;1
00005;439;1
00005;440;1
00005;441;1
00005;450;1
00005;461;1
00005;465;1
00005;478;1
00005;496;1
00005;497;1
00005;498;1
00005;499;1
00005;500;1
00005;501;1
00005;502;1
00005;503;1
00005;505;1
00005;511;1
00005;513;1
00005;516;1
00005;520;1
00005;524;1
00005;531;1
00005;533;1
00005;549;1
00005;553;1
00005;559;1
00005;561;1
00005;568;1
00005;590;1
00005;592;1
00005;593;1
00005;604;1
00005;605;1
00005;633;1
00005;669;1
00005;701;1
00005;702;1
00005;710;1
00005;711;1
00005;722;1
00005;724;1
00005;729;1
00005;731;1
00005;733;1
00005;750;1
00005;761;1
00005;763;1
00005;772;1
00005;779;1
00005;788;1
00005;805;1
00005;843;1
00005;845;1
00005;856;1
00005;857;1
00005;861;1
00005;864;1
00005;867;1
00005;875;1
00005;876;1
00005;888;1
00005;889;1
00005;895;1
00005;925;1
00005;935;1
00005;943;1
00005;944;1
00005;975;1
00005;980;1
00005;982;1
00005;990;1
00005;1000;1
00005;1019;1
00005;1038;1
00005;1040;1
00005;1064;1
00005;1076;1
00005;1080;1
00005;1088;1
00005;1091;1
00005;1092;1
00005;1093;1
00005;1098;1
00005;1144;1
00005;1156;1
00005;1175;1
00005;1185;1
00005;1188;1
00005;1196;1
00005;1223;1
00005;1226;1
00006;25;1
00006;31;1
00006;90;1
00006;195;1
00006;326;1
00006;370;1
00006;438;1
00006;440;1
00006;441;1
00006;503;1
00006;511;1
00006;586;1
00006;592;1
00006;593;1
00006;722;1
00006;731;1
00006;734;1
00006;805;1
00006;875;1
00006;922;1
00006;963;1
00006;975;1
00006;1092;1
00006;1093;1
00007;45;1
00007;53;1
00007;166;1
00007;171;1
00007;256;1
00007;370;1
00007;371;1
00007;386;1
00007;410;1
00007;439;1
00007;535;1
00007;623;1
00007;633;1
00007;634;1
00007;640;1
00007;669;1
00007;831;1
00007;853;1
00007;856;1
00007;857;1
00007;921;1
00007;1027;1
00007;1054;1
00007;1056;1
00007;1057;1
00007;1059;1
00007;1064;1
00007;1161;1
00008;23;1
00008;169;1
00008;322;1
00008;370;1
00008;386;1
00008;435;1
00008;439;1
00008;463;1
00008;496;1
00008;497;1
00008;498;1
00008;499;1
00008;503;1
00008;605;1
00008;683;1
00008;710;1
00008;750;1
00008;771;1
00008;867;1
00008;875;1
00008;944;1
00008;1125;1
00009;165;1
00009;174;1
00009;362;1
00009;370;1
00009;414;1
00009;443;1
00009;794;1
00009;992;1
00009;1040;1
00009;1115;1
00010;30;1
00010;126;1
00010;157;1
00010;170;1
00010;296;1
00010;301;1
00010;322;1
00010;370;1
00010;413;1
00010;443;1
00010;581;1
00010;676;1
00010;715;1
00010;722;1
00010;728;1
00010;758;1
00010;782;1
00010;835;1
00010;878;1
00010;941;1
00010;1115;1
00010;1215;1
00010;1218;1
00010;1234;1
00010;1239;1
00011;36;1
00011;46;1
00011;96;1
00011;186;1
00011;301;1
00011;428;1
00011;518;1
00011;649;1
00011;652;1
00011;659;1
00011;772;1
00011;796;1
00011;798;1
00011;799;1
00011;835;1
00011;837;1
00011;908;1
00011;909;1
00011;991;1
00011;1119;1
00011;1178;1
00011;1226;1
00012;70;1
00012;181;1
00012;443;1
00012;466;1
00012;755;1
00012;918;1
00012;1115;1
00013;156;1
00013;301;1
00013;314;1
00013;322;1
00013;370;1
00013;443;1
00013;462;1
00013;522;1
00013;643;1
00013;695;1
00013;715;1
00013;719;1
00013;722;1
00013;763;1
00013;764;1
00013;791;1
00013;822;1
00013;900;1
00013;902;1
00013;978;1
00013;1017;1
00013;1033;1
00013;1097;1
00013;1124;1
00014;5;1
00014;89;1
00014;92;1
00014;131;1
00014;135;1
00014;150;1
00014;156;1
00014;203;1
00014;232;1
00014;233;1
00014;234;1
00014;291;1
00014;297;1
00014;314;1
00014;319;1
00014;344;1
00014;345;1
00014;356;1
00014;367;1
00014;370;1
00014;379;1
00014;405;1
00014;413;1
00014;417;1
00014;419;1
00014;421;1
00014;424;1
00014;462;1
00014;465;1
00014;492;1
00014;584;1
00014;602;1
00014;616;1
00014;635;1
00014;662;1
00014;695;1
00014;719;1
00014;777;1
00014;791;1
00014;809;1
00014;815;1
00014;852;1
00014;889;1
00014;899;1
00014;930;1
00014;941;1
00014;1000;1
00014;1008;1
00014;1013;1
00014;1100;1
00014;1117;1
00014;1124;1
00014;1135;1
00014;1206;1
00014;1234;1
00015;17;1
00015;59;1
00015;63;1
00015;72;1
00015;91;1
00015;95;1
00015;97;1
00015;98;1
00015;99;1
00015;135;1
00015;149;1
00015;174;1
00015;197;1
00015;204;1
00015;205;1
00015;226;1
00015;232;1
00015;238;1
00015;266;1
00015;297;1
00015;301;1
00015;322;1
00015;339;1
00015;350;1
00015;354;1
00015;355;1
00015;364;1
00015;370;1
00015;385;1
00015;398;1
00015;408;1
00015;410;1
00015;413;1
00015;414;1
00015;420;1
00015;422;1
00015;423;1
00015;424;1
00015;426;1
00015;434;1
00015;443;1
00015;474;1
00015;545;1
00015;549;1
00015;550;1
00015;601;1
00015;603;1
00015;611;1
00015;642;1
00015;643;1
00015;657;1
00015;673;1
00015;690;1
00015;700;1
00015;720;1
00015;722;1
00015;724;1
00015;725;1
00015;729;1
00015;731;1
00015;735;1
00015;747;1
00015;752;1
00015;763;1
00015;764;1
00015;767;1
00015;792;1
00015;794;1
00015;816;1
00015;822;1
00015;833;1
00015;837;1
00015;844;1
00015;853;1
00015;854;1
00015;857;1
00015;863;1
00015;870;1
00015;875;1
00015;888;1
00015;889;1
00015;900;1
00015;944;1
00015;990;1
00015;993;1
00015;994;1
00015;1000;1
00015;1013;1
00015;1016;1
00015;1027;1
00015;1033;1
00015;1040;1
00015;1093;1
00015;1098;1
00015;1115;1
00015;1162;1
00015;1184;1
00015;1187;1
00015;1192;1
00015;1195;1
00015;1226;1
00015;1232;1
00015;1234;1
00015;1235;1
00016;5;1
00016;10;1
00016;17;1
00016;36;1
00016;41;1
00016;46;1
00016;69;1
00016;72;1
00016;89;1
00016;92;1
00016;95;1
00016;97;1
00016;98;1
00016;126;1
00016;129;1
00016;130;1
00016;132;1
00016;134;1
00016;135;1
00016;148;1
00016;150;1
00016;168;1
00016;181;1
00016;182;1
00016;186;1
00016;189;1
00016;197;1
00016;202;1
00016;205;1
00016;212;1
00016;225;1
00016;226;1
00016;238;1
00016;240;1
00016;255;1
00016;288;1
00016;290;1
00016;292;1
00016;297;1
00016;298;1
00016;301;1
00016;314;1
00016;320;1
00016;322;1
00016;330;1
00016;331;1
00016;333;1
00016;350;1
00016;357;1
00016;359;1
00016;364;1
00016;370;1
00016;376;1
00016;386;1
00016;396;1
00016;398;1
00016;413;1
00016;421;1
00016;424;1
00016;428;1
00016;434;1
00016;443;1
00016;462;1
00016;466;1
00016;468;1
00016;472;1
00016;473;1
00016;475;1
00016;478;1
00016;489;1
00016;490;1
00016;510;1
00016;512;1
00016;518;1
00016;522;1
00016;550;1
00016;553;1
00016;559;1
00016;581;1
00016;582;1
00016;586;1
00016;594;1
00016;615;1
00016;616;1
00016;641;1
00016;642;1
00016;643;1
00016;649;1
00016;656;1
00016;657;1
00016;658;1
00016;659;1
00016;660;1
00016;662;1
00016;673;1
00016;676;1
00016;708;1
00016;709;1
00016;711;1
00016;715;1
00016;719;1
00016;722;1
00016;723;1
00016;724;1
00016;725;1
00016;727;1
00016;729;1
00016;730;1
00016;731;1
00016;735;1
00016;755;1
00016;756;1
00016;758;1
00016;762;1
00016;763;1
00016;764;1
00016;767;1
00016;770;1
00016;772;1
00016;783;1
00016;791;1
00016;797;1
00016;799;1
00016;809;1
00016;810;1
00016;816;1
00016;822;1
00016;834;1
00016;835;1
00016;837;1
00016;844;1
00016;867;1
00016;870;1
00016;872;1
00016;875;1
00016;882;1
00016;888;1
00016;889;1
00016;893;1
00016;896;1
00016;901;1
00016;902;1
00016;919;1
00016;928;1
00016;932;1
00016;935;1
00016;937;1
00016;938;1
00016;941;1
00016;943;1
00016;944;1
00016;970;1
00016;974;1
00016;984;1
00016;990;1
00016;991;1
00016;993;1
00016;994;1
00016;1000;1
00016;1002;1
00016;1016;1
00016;1017;1
00016;1023;1
00016;1033;1
00016;1037;1
00016;1051;1
00016;1066;1
00016;1076;1
00016;1080;1
00016;1098;1
00016;1101;1
00016;1115;1
00016;1135;1
00016;1154;1
00016;1158;1
00016;1189;1
00016;1192;1
00016;1226;1
00016;1232;1
00016;1234;1
00017;49;1
00017;89;1
00017;101;1
00017;128;1
00017;132;1
00017;135;1
00017;153;1
00017;189;1
00017;233;1
00017;238;1
00017;297;1
00017;298;1
00017;301;1
00017;330;1
00017;333;1
00017;357;1
00017;359;1
00017;370;1
00017;428;1
00017;443;1
00017;450;1
00017;506;1
00017;643;1
00017;660;1
00017;662;1
00017;688;1
00017;722;1
00017;729;1
00017;730;1
00017;731;1
00017;735;1
